type,sub-type,key,note,zh_TW,en_US
Pages,Profile,CollectionsCarouselElement-collection,,集錦,Collections
Pages,Profile,CollectionsCarouselElement-picks-count-detail,,人精選,Picks
Pages,Profile,ArticleCardList-title,,精選文章,Picked stories
Pages,Profile,Comment-edit-comment,,編輯留言,Edit comment
Pages,Profile,Comment-no-comment,,沒有評論,No comments yet
Pages,Profile,Comment-delete-comment,,刪除留言,Delete comment
Pages,Profile,Comment-cancel-edit,,取消,Cancel
Pages,Profile,Comment-confirm-delete,,確認要刪除留言？,Are you sure you want to delete this comment?
Pages,Profile,Comment-delete-hint,,系統仍會保留您的精選記錄,Your pick record will still be saved
Pages,Profile,BlockSheet-title,,封鎖 {{customId}}？,Block {{customId}}?
Pages,Profile,BlockSheet-description,,你將再也不會看到對方的精選新聞、集錦、留言等動態及相關通知。如果你有追蹤對方，封鎖對方的同時也會取消追蹤。,"You will no longer see their picked articles, collections, comments, or related updates. If you're following this user, blocking them will also unfollow them."
Pages,Profile,BlockSheet-confirm,,好的,Got it
Pages,Profile,BlockSheet-cancel,,取消,Cancel
Pages,Profile,EmptyTabState-no-pick,,"這裡還空空的
趕緊將喜愛的新聞加入精選吧","It's still empty here
Start picking your favorite articles now!"
Pages,Profile,EmptyTabState-no-pick-for-other,,這個人還沒有精選新聞,This user hasn't picked any articles yet
Pages,Profile,EmptyTabState-no-bookmark,,沒有已儲存的書籤,No saved bookmarks
Pages,Profile,EmptyTabState-no-collection,,"從精選新聞或書籤中
將數篇新聞打包成集錦",Bundle several picked or bookmarked articles into a collection
Pages,Profile,EmptyTabState-no-collection-for-other,,這個人還沒有建立集錦,This user hasn't created any collections yet
Pages,Profile,EmptyTabState-no-story,,這個媒體還沒有發佈任何新聞,This media hasn’t published any stories yet
Pages,Profile,EmptyTabState-create-collection,,立即嘗試,Try it now
Pages,Profile,ReportSheet-report-success,,檢舉成功,Report submitted
Pages,Profile,ReportSheet-description,,我們已收到您的檢舉，感謝提供資訊。,We've received your report. Thank you for your feedback.
Pages,Profile,ReportSheet-confirm,,好的,OK
Pages,Profile,FollowerPage-no-follower-for-other,,這個人還沒有粉絲,This user doesn’t have any followers yet
Pages,Profile,FollowerPage-no-follower,,目前還沒有粉絲,No followers yet
Pages,Profile,FollowingPage-no-follow-for-other,,這個人還沒有追蹤中的對象,This user isn’t following anyone yet
Pages,Profile,FollowingPage-no-follow,,目前還沒有追蹤中的對象,No followers yet
Pages,Profile,FollowingPage-publisher,,媒體,Media
Pages,Profile,FollowingPage-member,,人物,Users
Pages,Profile,Loading-edit-profile,,編輯個人檔案,Edit Profile
Pages,Profile,Loading-donate-publisher,,贊助媒體,Sponsor Media
Pages,Profile,Loading-follower,,粉絲,Followers
Pages,Profile,Loading-gain-donate,,本月獲得贊助,Sponsorships received this month
Pages,Profile,Loading-follow,,追蹤,Follow
Pages,Profile,Loading-story,,報導,Stories
Pages,Profile,FollowerLayout-title,,粉絲,Followers
Pages,Edit-Profile,Layout-title,,編輯個人檔案,Edit profile
Pages,Edit-Profile,Layout-cancel,,取消,Cancel
Pages,Edit-Profile,Layout-save,,儲存,Save
Pages,Edit-Profile,EditProfile-change-avatar,,更換大頭貼照,Change profile picture
Pages,Edit-Profile,EditProfile-name,,姓名,Name
Pages,Edit-Profile,EditProfile-id,,更換大頭貼照,Change profile picture
Pages,Edit-Profile,EditProfile-intro,,簡介,Bio
Pages,Edit-Profile,EditProfile-words,,字,characters
Pages,Edit-Profile,EditProfile-intro-placeholder,,向大家介紹一下自己吧...,Tell us a bit about yourself...
Pages,Edit-Profile,EditProfile-save,,儲存,Save
Pages,Edit-Profile,AvatarEditMenu-select-photo,,選擇相片,Upload photo
Pages,Edit-Profile,AvatarEditMenu-remove-avatar,,刪除大頭貼照,Remove Profile Picture
Pages,Edit-Profile,UploadImageErrorModal-file-too-big,,檔案過大,File too large
Pages,Edit-Profile,UploadImageErrorModal-file-limitation,,上傳的檔案大小須小於 10MB,Uploaded file must be smaller than 10MB       
Pages,Point,Layout-sponsor,,已贊助媒體,Sponsored media
Pages,Point,Layout-subscribe-stories,,訂閱中文章,Unlocked stories
Pages,Point,Layout-record,,點數紀錄,Points history
Pages,Point,MeshPointHelper-mesh-point,,讀選點數,Mesh points
Pages,Point,MeshPointHelper-tooltip,,讀選點數（READR）能用來贊助媒體、支持你喜歡的報導。你可以透過閱讀新聞獲得讀選點數。,Mesh Points can be used to sponsor media and support articles you love. Earn points by reading the news.
Pages,Point,MeshPointHelper-learn-more,,了解更多,Learn more
Pages,Point,MeshPoint-sponsor-unit,這部分可能只顯示數字，不用翻譯,次,
Pages,Point,MeshPoint-sponsor-count,,已贊助次數,Media sponsorships
Pages,Point,MeshPoint-unlock-unit,這部分可能只顯示數字，不用翻譯,篇,
Pages,Point,MeshPoint-unlock-count,,訂閱中文章,Unlocked stories
Pages,Point,MeshPoint-no-transaction,,沒有交易紀錄,No transaction history
Pages,Point,LoadMoreTransaction-load-more,,載入更多記錄,Load more
Pages,Point-Record,Page-receive-at-time,,在 {{time}} 收到,Received at {{time}}
Pages,Point-Record,Page-pay-at-time,,在 {{time}} 送出,Sent at {{time}}
Pages,Point-Record,Page-name,,名稱,Item
Pages,Point-Record,Page-balance,,讀選點數餘額,Mesh Points balance
Pages,Point-Sponsorship,Page-no-record,,目前還沒有贊助紀錄,No sponsorship history yet
Pages,Point-Sponsorship,Page-already-sponsored,,已贊助,Sponsored
Pages,Point-Sponsorship,Page-sponsor-count-unit,,次,times
Pages,Point-Subscribe-Stories,Page-no-record,,目前還沒有訂閱中的文章,No unlocked stories yet
Pages,Point-Subscribe-Stories,SubscribeStoriesList-due-day,,{{time}} 到期,Expires at {{time}}
Pages,Collection,CreateCollectionProvider-mobile-step1-title-1,,已選{{count}}篇,{{count}} Stories picked
Pages,Collection,CreateCollectionProvider-mobile-step1-title-2,,選擇文章,Select stories
Pages,Collection,CreateCollectionProvider-mobile-step2-title,,標題,Title
Pages,Collection,CreateCollectionProvider-mobile-step3-title,,敘述,Description
Pages,Collection,CreateCollectionProvider-mobile-step4-title,,排序,Sort by
Pages,Collection,CreateCollectionProvider-desktop-step1-title,,建立集錦,Create collection
Pages,Collection,CreateCollectionProvider-desktop-step2-title,,排序,Sort by
Pages,Collection,MobileGoBackButton-confirm-leave,,確認要退出編輯？,Are you sure you want to exit editing?
Pages,Collection,MobileGoBackButton-leave-warning,,系統不會儲存您所做的變更,Your changes will not be saved
Pages,Collection,MobileGoBackButton-stay,,繼續編輯,Continue editing
Pages,Collection,MobileGoBackButton-leave,,退出,Exit
Pages,Collection,DesktopGoBackButton-confirm-leave,,確認要退出編輯？,Are you sure you want to exit editing?
Pages,Collection,DesktopGoBackButton-leave-warning,,系統不會儲存您所做的變更,Your changes won’t be saved
Pages,Collection,DesktopGoBackButton-stay,,繼續編輯,Continue editing
Pages,Collection,DesktopGoBackButton-leave,,退出,Exit
Pages,Collection,MobileGoNextButton-go-next,,下一步,Next
Pages,Collection,MobileGoNextButton-create,,建立,Create
Pages,Collection,MobileGoNextButton-save,,儲存,Save
Pages,Collection,MobileGoNextButton-finish,,完成,Finish
Pages,Collection,TabletGoNextButton-go-next,,下一步,Next
Pages,Collection,TabletGoNextButton-create,,建立,Create
Pages,Collection,TabletGoNextButton-save,,儲存,Save
Pages,Collection,TabletGoNextButton-finish,,完成,Finish
Pages,Collection,DesktopGoNextButton-go-next,,下一步,Next
Pages,Collection,DesktopGoNextButton-create,,建立,Create
Pages,Collection,DesktopGoNextButton-save,,儲存,Save
Pages,Collection,DesktopGoNextButton-finish,,完成,Finish
Pages,Collection,StoryFilter-pick-and-bookmark,,精選文章及書籤,Picked stories and bookmarks
Pages,Collection,StoryFilter-pick,,精選文章,Picked stories
Pages,Collection,StoryFilter-bookmark,,書籤,Bookmarks
Pages,Collection,StoryFilter-check-pick,,精選文章,Picked stories
Pages,Collection,StoryFilter-check-bookmark,,書籤,Bookmarks
Pages,Collection,StoryFilter-story-source,,新聞來源,Story source
Pages,Collection,StoryFilter-pick-one,,至少要選一個,Please select at least one
Pages,Collection,StoryFilter-filter,,篩選,Filter
Pages,Collection,EditHeroImage-change-image,,更換封面照片,Change cover photo
Pages,Collection,EditTitle-label,,標題*,Title*
Pages,Collection,EditTitle-input-placeholder,,輸入集錦標題,Enter a title for the collection
Pages,Collection,EditSummary-summary,,敘述,Description
Pages,Collection,EditSummary-current-length-to-max,,{{currentCount}}/{{maxCount}}字,{{currentCount}}/{{maxCount}} characters
Pages,Collection,EditSummary-placeholder,,這個集錦的內容主題是什麼...,What is the theme of this collection...
Pages,Collection,EditSummary-too-many-words,,字數不能超過 {{length}} 字,Character count must not exceed {{length}}
Pages,Collection,DesktopStep2SortStories-detail,,預設是以加入集錦的時間排序新聞，你也可以拖動新聞，重新排列順序。,Stories are sorted by the time they were added. You can also drag to rearrange them.
Pages,Collection,ClientLayout-title,,集錦,	Collection
Pages,Collection,CollectionMoreActionButton-delete-title,,確認刪除集錦,Confirm deleting this collection
Pages,Collection,CollectionMoreActionButton-delete-warning,,此動作無法還原,This action cannot be undone
Pages,Collection,CollectionMoreActionButton-delete-cancel,,取消,Cancel
Pages,Collection,CollectionMoreActionButton-delete,,刪除集錦,Delete collection
Pages,Collection,CollectionMoreActionButton-delete-failed,,刪除集錦失敗,Failed to delete collection
Pages,Collection,CollectionMoreActionButton-report-title,,檢舉成功,Report submitted
Pages,Collection,CollectionMoreActionButton-report-detail,,我們已收到您的檢舉，感謝提供資訊。,We’ve received your report. Thank you for the information.
Pages,Collection,CollectionMoreActionButton-report-confirm,,好的,OK
Pages,Collection,CollectionMoreActionButton-action-edit-title,,修改標題,Edit title
Pages,Collection,CollectionMoreActionButton-action-edit-description,,修改敘述,Edit description
Pages,Collection,CollectionMoreActionButton-action-edit-stories,,編輯內容與排序,Edit content and order
Pages,Collection,CollectionMoreActionButton-action-edit-all,,編輯集錦,Edit collection
Pages,Collection,CollectionMoreActionButton-action-edit-delete,,刪除集錦,Delete collection
Pages,Collection,CollectionMoreActionButton-action-report,,檢舉,Report
Pages,Collection,CollectionCard-collection,,集錦,Collection
Pages,Collection,CollectionCard-expand,,...展開更多,...show more
Pages,Collection,ArticleCardList-empty-message,,"從精選新聞或書籤中
將數篇新聞打包成集錦",Bundle several picked or bookmarked articles into a collection
Pages,Collection,EditCollectionProvider-mobile-edit-title,,修改標題,Edit title
Pages,Collection,EditCollectionProvider-mobile-edit-summary,,修改敘述,Edit description
Pages,Collection,EditCollectionProvider-mobile-edit-stories,,編輯排序,Edit order
Pages,Collection,EditCollectionProvider-mobile-add-stories,,加入新文章,Add new story
Pages,Collection,EditCollectionProvider-desktop-edit-all,,編輯集錦,Edit collection
Pages,Collection,EditCollectionProvider-desktop-add-stories,,加入新文章,Add new story
Pages,Collection,AdditionalEditor-add-story,,新增文章,Add story
Pages,Collection,DesktopAddStories-hint,,從你的精選文章、書籤或全站文章中，挑選要加入集錦的文章,"Select stories from your picked stories, bookmarks, or the site to add to this collection"
Pages,Collection,ImageSelector-select-image,,選擇相片,Choose photo
Pages,Collection,Comment-edit-comment,,編輯留言,Edit comment
Pages,Collection,Comment-no-comment,,沒有評論,No comments yet
Pages,Collection,NotExist-title,,集錦不存在,Collection not found
Pages,Collection,NotExist-description,,這個集錦已經被刪除了,This collection has been deleted
Pages,Contact,Page-description,,若有使用上的問題，請將截圖及問題描述寄至客服信箱，或撥打客服電話由專人為您服務（服務時間：星期一～星期五，10:00～18:00）,"If you encounter any issues, please email us with a screenshot and description, or call our support line (service hours: Monday–Friday, 10:00–18:00)"
Pages,Contact,Page-link-customer-service-mail,,客服信箱,Support email
Pages,Contact,Page-link-customer-service-phone,,客服電話,Support phone
Pages,Contact,Page-link-discord,,Discord 社群,Discord community
Pages,Contact,Layout-title,,聯絡我們,Contact us
Pages,Invitation-Code,Page-valid-code,,可用的邀請碼（{{count}}）,Available invite codes ({{count}})
Pages,Invitation-Code,InvitationCodeLayout-title,,邀請碼,Invite code
Pages,Invitation-Code,Page-no-codes,,目前沒有可用的邀請碼...,No available invite codes at the moment...
Pages,Invitation-Code,Page-already-used,,已使用,Used
Pages,Invitation-Code,CopyCodeButton-copy-code,,複製邀請碼,Copy invite code
Pages,Login,LoginStepsTitle-title-terms,,服務條款,Terms of service
Pages,Login,LoginStepsTitle-title-email,,Email,Email
Pages,Login,LoginStepsTitle-title-email-confirm,,確認收件匣,Check your inbox
Pages,Login,LoginStepsTitle-title-set-category,,新聞類別,News categories
Pages,Login,LoginStepsTitle-title-set-following,,推薦追蹤,Suggested follows
Pages,Login,LoginStepsTitle-title-webview-hint,,註冊／登入,Sign up / log in
Pages,Login,LoginStepsTitle-title-set-name,,姓名,Name
Pages,Login,LoginStepsTitle-title-set-wallet,,連結錢包,Connect wallet
Pages,Login,LoginStepsTitle-skip,,略過,Skip
Pages,Login,LoginEntry-title,,註冊/登入會員,Sign up / log in as a member
Pages,Login,LoginEntry-description,,加入討論，並享受個人化新聞選讀體驗,Join the discussion and enjoy a personalized news reading experience
Pages,Login,LoginEntry-hint-1,,繼續使用代表您同意與接受我們的,"By continuing, you agree to our"
Pages,Login,LoginEntry-hint-2,,《服務條款》,terms of service
Pages,Login,LoginEntry-hint-3,,及,and
Pages,Login,LoginEntry-hint-4,,《隱私政策》,privacy policy
Pages,Login,LoginEntry-continue-with-text,,以 {{text}} 帳號繼續,Continue with {{text}} account
Pages,Login,LoginEmail-valid-email,,Email 符合格式,Valid email format required
Pages,Login,LoginEmail-hint,,我們會將登入連結寄送至這個 Email，替您省去設定密碼的麻煩。,"We’ll send a login link to this email, so you don’t need a password"
Pages,Login,LoginEmail-submit,,送出,Submit
Pages,Login,LoginTermsConfirmation-hint,,繼續使用前，請先詳閱我們的服務條款及隱私權政策,Please read and agree to our terms of service and privacy policy before continuing
Pages,Login,LoginTermsConfirmation-agree-terms,,我同意以上條款,I agree to the above terms
Pages,Login,LoginTermsConfirmation-go-next,,下一步,Next
Pages,Login,LoginEmailConfirmation-hint-1,,我們已將登入連結寄到 {{email}}，請點擊信件中的連結登入。,We’ve sent a login link to {{email}}. Please check your inbox to log in.
Pages,Login,LoginEmailConfirmation-hint-2,,沒收到信件？請檢查垃圾信件匣,Didn’t receive the email? Check your spam folder
Pages,Login,LoginEmailConfirmation-hint-3,,或,or
Pages,Login,LoginEmailConfirmation-hint-4,,重新發送信件,Resend email
Pages,Login,LoginEmailConfirmation-try-other-way,,嘗試其他登入方式,Try another login method
Pages,Login,LoginSetName-hint,,輸入您想使用的公開顯示名稱。您隨時都能更改姓名。,Enter your public display name. You can change it at any time.
Pages,Login,LoginSetName-go-next,,下一步,Next
Pages,Login,LoginSetName-rule-name-length,,姓名在 2-32 字間,	Name must be between 2 and 32 characters
Pages,Login,LoginSetName-rule-no-special-char,,不包含特殊符號,No special characters allowed
Pages,Login,LoginSetName-rule-no-repetition,,沒有跟媒體名稱重複,Must not duplicate an existing media name
Pages,Login,LoginSetCategory-hint,,請選擇您想追蹤的新聞類別,Select the news categories you want to follow
Pages,Login,LoginSetCategory-select-three,,至少要選 3 個,Please select at least 3
Pages,Login,LoginSetCategory-go-next,,下一步,Next
Pages,Login,LoginSetFollowing-hint,,根據您的喜好，我們推薦您追蹤這些人物,"Based on your interests, we suggest following these people"
Pages,Login,LoginSetFollowing-select-all-recommend-1,,等,etc.
Pages,Login,LoginSetFollowing-select-all-recommend-2,,人,people
Pages,Login,LoginSetFollowing-unfollow-all,,取消追蹤全部,Unfollow all
Pages,Login,LoginSetFollowing-follow-all,,一次追蹤全部,Follow all
Pages,Login,LoginSetFollowing-finish,,完成,Done
Pages,Login,LoginWebviewHint-title,,以外部瀏覽器開啟,Open in external browser
Pages,Login,LoginWebviewHint-detail,,請用瀏覽器開啟此網址以繼續登入,Please open this link in your browser to continue logging in
Pages,Login,LoginWebviewHint-action,,以外部瀏覽器開啟,Open in external browser
Pages,Login,LoginCode-invitaion-not-found,,找不到這個邀請碼，請重新輸入,	Invite code not found. Please try again.
Pages,Login,LoginCode-enter-invitation-code,,請輸入邀請碼,Please enter an invite code
Pages,Login,LoginCode-enter-send,,送出,Send
Pages,Media-Backstage,RecordController-record-type-sponsor,,贊助,Sponsor
Pages,Media-Backstage,RecordController-record-type-transaction,,付費解鎖,Pay to unlock
Pages,Media-Backstage,RecordController-record-type-mutual-fund,,共同基金池,Shared fund pool
Pages,Media-Backstage,RecordController-record-type-redeem,,點數兌換,Redeem points
Pages,Media-Backstage,DatePicker-date-format,,{{year}} 年 {{month}} 月,"{{month}}, {{year}}"
Pages,Media-Backstage,MeshPointInfo-title,,讀選點數,Mesh Points
Pages,Media-Backstage,MeshPointInfo-point-hint,,此為所有管理帳號的點數總額,This is the total Mesh point balance across all admin accounts
Pages,Media-Backstage,MeshPointInfo-settlement-hint-1,,收益每兩個月結算一次，結算日為雙數月的最後一天，請於結算日前兌換，否則收益將計入下一期報表,"Earnings are settled every two months. The settlement date is the last day of even-numbered months. Please redeem your points before the deadline, or they’ll roll over to the next cycle."
Pages,Media-Backstage,MeshPointInfo-settlement-hint-2,,123例：1-2 月收益，應於 2/28前兌換，若未兌換，收益將記入下個結算日（5/5）之報表,"Example: earnings from Jan–Feb must be redeemed by Feb 28. Otherwise, they’ll appear in the next report (May 5)."
Pages,Media-Backstage,MeshPointInfo-exchange-point,,點數兌換,Redeem points
Pages,Media-Backstage,RecordList-no-record,,目前沒有紀錄,No records yet
Pages,Media-Backstage,RecordItem-transaction-title,,{{name}} - 付費解鎖 - {{title}},{{name}} - unlocked with payment - {{title}}
Pages,Media-Backstage,RecordItem-sponsor-name-fallback,,會員,Member
Pages,Media-Backstage,RecordItem-sponsor-title,,{{name}} - 贊助,{{name}} - sponsored
Pages,Media-Backstage,RecordItem-redeem-title,,點數兌換,Redeem points
Pages,Media-Backstage,ExchangeInfo-exchange-success,,兌換成功,Redemption successful
Pages,Media-Backstage,ExchangeInfo-report-generation,,收益將於 {{nextMonthNumber}}/5 出報表,Earnings will be reported on {{nextMonthNumber}}/5
Pages,Media-Backstage,ExchangeInfo-finish,,完成,Done
Pages,Media-Backstage,ExchangeInfo-exchange,,兌換,Redeem
Pages,Media-Backstage,ExchangeInput-set-max-amount,,MAX,MAX
Pages,Media-Backstage,ExchangeInput-minimum-amount-hint,,輸入金額不能少於 {{amount}},The amount must be at least {{amount}}
Pages,Media-Backstage,ExchangeInput-enter-amount,,請輸入您要兌換的金額。,Please enter the amount you want to redeem.
Pages,Media-Backstage,ExchangeInput-mesh-point-balance,,您的讀選點數餘額：${{balance}},Your Mesh points balance: ${{balance}}
Pages,Media-Backstage,ExchangeInput-exchange-detail,,點數最低兌換點數為 {{amount}} 點，單筆兌換手續費為 {{feeRate}}%。,Minimum redeemable points: {{amount}}. A {{feeRate}}% fee applies per transaction.
Pages,Media-Backstage,Reports-no-report,,目前沒有紀錄,No records yet
Pages,Media-Backstage,ReportGroup-year-report,,{{year}} 收益報表,{{year}} earnings report
Pages,Media-Backstage,ReportRow-download,,下載,Download
Pages,Media-Backstage,ReportRow-print,,列印,Print
Pages,Media-Backstage,ReportRow-month-range,英文只顯示系統的月份即可,{{startMonth}}-{{endMonth}} 月,{{startMonth}}–{{endMonth}}
Pages,Payment,PaymentLayout-subtitle-subscribe,,解鎖,Unlock
Pages,Payment,PaymentLayout-subtitle-sponsor,,贊助,Sponsor
Pages,Payment,PaymentInfo-payment-info,,訂單資訊,Order information
Pages,Payment,PaymentInfo-payment-type,,購買方案,Purchase plan
Pages,Payment,PaymentInfo-mm-single-story,,鏡週刊Basic會員（單篇）,Mirror Weekly Basic membership (single story)
Pages,Payment,PaymentInfo-unlock-duration,,閱讀期限,Reading period
Pages,Payment,PaymentInfo-14-days,,完成購買後可享 14 天無限瀏覽,Enjoy unlimited access for 14 days after purchase
Pages,Payment,PaymentInfo-price,,方案費用,Plan cost
Pages,Payment,PaymentInfo-payment-hint,,(交易手續費依付款畫面為準),(Transaction fee may vary and will be shown at checkout)
Pages,Payment,PaymentInfo-email,,Email,Email
Pages,Payment,PaymentInfo-email-hint,,我們會將訂單資訊寄至這個 Email。,We’ll send your order info to this email address.
Pages,Payment,PaymentInfo-email-valid,,Email 符合格式,Valid email format required
Pages,Payment,PaymentInfo-aceept-terms,,我接受與同意鏡傳媒的,I accept and agree to Mirror Media’s
Pages,Payment,PaymentInfo-terms,,《服務條款》,《terms of service》
Pages,Payment,PaymentInfo-pay,,完成付款,Complete payment
Pages,Payment,SponsorshipInfo-sponsor-success,,支付成功,Payment successful
Pages,Payment,SponsorshipInfo-sponsor-detail,,您成功贊助了,You’ve successfully sponsored
Pages,Payment,SponsorshipInfo-finish,,完成,Done
Pages,Payment,SponsorshipInfo-go-back,,上一步,Previous
Pages,Payment,SponsorshipInfo-go-next,,下一步,Next
Pages,Payment,SponsorInput-enter-amount,,請輸入您要贊助的金額。,Please enter the amount you want to sponsor.
Pages,Payment,SponsorInput-mesh-balance,,您的讀選點數餘額：${{balance}},Your Mesh points balance: ${{balance}}
Pages,Payment,SponsorInput-set-max-amount,,MAX,MAX
Pages,Payment,SponsorOption-sponsor,,贊助,Sponsor
Pages,Payment,SponsorOption-support-publisher,,支持喜歡的媒體，做出更多優質報導！,Support the media you like to help create more quality journalism!
Pages,Payment,SponsorOption-custom,,自訂,Custom
Pages,Payment,SponsorOption-good-to-know,,贊助須知,Sponsor guide
Pages,Payment,SponsorOption-how-to-sponsor,,贊助方式：您可以選擇平台提供的預設贊助點數金額，或是自行設置您想要的贊助額度，支持您喜愛的媒體。,Sponsorship method: You can choose from suggested point amounts or set your own to support the media you like.
